"Name","OperatingSystem","LastLogonDate"
"SMH-DC01","Windows Server 2022 Standard","11/11/2024 10:58:39 PM"
"SCHUBER-BDR","Windows 10 Pro","2/12/2020 10:02:12 PM"
"AZUREADSSOACC",,
"SMH-L03","Windows 7 Professional","10/10/2019 2:51:39 AM"
"SMH-D01","Windows 10 Pro","7/10/2018 7:59:39 AM"
"SMH-L04","Windows 10 Pro","7/29/2019 1:28:11 PM"
"SMH-L12","Windows 10 Pro","10/9/2020 1:42:10 PM"
"SMH-L05","Windows 10 Pro","9/26/2019 5:55:17 PM"
"SMH-L06","Windows 10 Pro","10/7/2020 11:05:27 AM"
"SMH-T03","Windows 10 Pro","1/31/2019 7:43:38 AM"
"SMH-T01","Windows 10 Pro","4/21/2020 2:58:57 PM"
"SMH-T02","Windows 10 Pro","10/29/2020 3:13:24 PM"
"SMH-T14","Windows 10 Pro","1/23/2020 1:55:14 PM"
"SMH-T04","Windows 10 Pro","9/21/2020 6:43:44 AM"
"SMH-L21","Windows 10 Pro","1/16/2020 10:16:25 AM"
"DEVELOPMENTSURF","Windows 10 Pro","5/8/2018 5:36:24 PM"
"SMH-L35","Windows 10 Pro","9/10/2020 10:33:58 AM"
"SMH-L31","Windows 10 Pro","9/16/2019 8:33:10 AM"
"SMH-L42","Windows 10 Pro","9/14/2020 8:03:00 AM"
"SMH-L54","Windows 10 Pro","11/14/2024 8:45:27 AM"
"SMH-L60","Windows 10 Pro","2/28/2023 3:00:34 PM"
"SMH-BDR","Windows 10 Pro","4/2/2021 3:56:16 AM"
"SMH-L64","Windows 10 Pro","11/11/2024 7:51:21 AM"
"SMH-L37","Windows 10 Pro","10/6/2020 11:19:06 AM"
"SMH-L68","Windows 10 Pro","11/11/2024 7:45:10 AM"
"SMH-L66","Windows 11 Pro","11/13/2024 8:02:05 AM"
"SMH-L69","Windows 10 Pro","11/11/2024 6:53:05 AM"
"SMH-L70","Windows 10 Pro","11/7/2024 10:24:52 AM"
"SMH-L77","Windows 10 Pro","7/22/2021 8:50:17 AM"
"smh-l80","Mac OS X","6/13/2024 6:46:22 PM"
"smh-l78","macOS","4/24/2024 1:16:23 PM"
"smh-l79","Mac OS X","8/19/2024 12:41:53 PM"
"smh-l81","macOS","10/23/2024 3:53:19 PM"
"smh-l71","Mac OS X","11/4/2024 8:04:07 AM"
"SMH-L94","Windows 10 Pro","11/7/2024 10:59:21 AM"
"SMH-L95","Windows 11 Pro","11/8/2024 12:37:36 PM"
"SMH-L97","Windows 10 Pro","10/29/2024 4:26:49 PM"
"SMH-L43","Windows 10 Pro","8/9/2021 8:58:17 AM"
"smh-l105","Mac OS X","8/26/2021 3:50:07 PM"
"smh-ls09","Mac OS X","10/5/2023 3:27:11 PM"
"SMH-L83","Windows 10 Pro","11/5/2024 5:24:32 PM"
"smh-l107","Mac OS X","3/25/2024 8:01:09 AM"
"SMH-L110","Windows 10 Pro","11/7/2024 8:02:13 AM"
