Device Name,Serial Number,Online,Last Online,Registration Date
SMH-L211,D4FCVX4R9L,false,"Nov 15, 2024 13:48 UTC","Oct 18, 2023 17:32 UTC"
SMH-L197,V9HCXM5Y9K,true,"Nov 15, 2024 16:20 UTC","Oct  6, 2023 20:20 UTC"
SMH-L213,XFY4MQFCXT,true,"Nov 15, 2024 14:00 UTC","Dec 20, 2023 22:10 UTC"
SMH-L67,FVFCT0P8MNHP,false,"Nov 14, 2024 09:43 UTC","Oct  6, 2023 23:23 UTC"
SMH-L131,FVFDL8WNMNHY,true,"Nov 15, 2024 16:23 UTC","Oct  6, 2023 21:55 UTC"
SMH-L209,DHJ46JW2CR,true,"Nov 15, 2024 16:30 UTC","Oct 13, 2023 20:48 UTC"
SMH-L80,FVFCT836MNHP,false,"Jun 14, 2024 22:19 UTC","Oct  6, 2023 19:25 UTC"
SMH-L283,F7VHDP9941,true,"Nov 15, 2024 16:08 UTC","Oct  4, 2024 19:30 UTC"
SMH-L212,X2X9VX5D46,true,"Nov 15, 2024 15:42 UTC","Oct 18, 2023 18:01 UTC"
iPad,KL0QCLW31J,false,"Nov 15, 2024 16:00 UTC","Mar 26, 2024 18:51 UTC"
SMH-L190,T267HT4XL4,true,"Nov 15, 2024 16:23 UTC","Oct  6, 2023 23:12 UTC"
SMH-L158,C02DQVPNQ6L4,false,"Nov 15, 2024 11:24 UTC","Jan 25, 2024 16:25 UTC"
SMH-L226,KVXCQC9XX6,true,"Nov 15, 2024 16:08 UTC","May 17, 2024 18:41 UTC"
SMH-L282,C92F6LJ7VG,true,"Nov 15, 2024 14:19 UTC","Oct  4, 2024 19:29 UTC"
SMh-L210,WJQH3X26TY,true,"Nov 15, 2024 15:32 UTC","Dec 20, 2023 22:19 UTC"
SMH-L206,DJW30070J7,true,"Nov 15, 2024 15:51 UTC","Oct  6, 2023 22:55 UTC"
SMH-L107,C02DQ4YVML85,true,"Nov 15, 2024 14:49 UTC","Dec  8, 2023 21:02 UTC"
SMH-L81,FVHCRFQFMNHP,false,"Oct 26, 2024 02:21 UTC","Jan 19, 2024 16:31 UTC"
SMH-L208,JF7RGXTX59,false,"Nov 15, 2024 14:57 UTC","Dec 20, 2023 22:00 UTC"
SMH-L243,J9K7PY9P0K,true,"Nov 15, 2024 15:44 UTC","Sep 17, 2024 16:33 UTC"
SMH-L108,FVFCT7HZMNHP,false,"Nov 15, 2024 15:03 UTC","Oct  6, 2023 22:32 UTC"
SMH-L214,FY7QJG61J1,true,"Nov 15, 2024 16:27 UTC","Oct 18, 2023 18:30 UTC"
SMH-L189,MMC4KFFM9J,false,"Nov 15, 2024 15:06 UTC","Oct  6, 2023 22:40 UTC"
SMH-L234,FPKXQJTQV0,false,"Nov 15, 2024 16:26 UTC","Aug 20, 2024 18:16 UTC"
SMH-L196,FMH33FG9XG,true,"Nov 15, 2024 15:42 UTC","Oct  6, 2023 19:41 UTC"
SMH- L188,PT2JKQDVFQ,true,"Nov 15, 2024 15:10 UTC","Oct  6, 2023 23:03 UTC"
SMH-L113,C02DK08BQ6L4,false,"Nov 15, 2024 15:58 UTC","Oct  6, 2023 20:33 UTC"
SMH-L183,FVFGQ4LDQ6LR,true,"Nov 15, 2024 14:24 UTC","Jan 24, 2024 16:15 UTC"
SMH-L224,KFVKJDV7C2,false,"Nov 15, 2024 15:16 UTC","May 15, 2024 14:05 UTC"
SMH-L78,FVFCT7CVMNHP,false,"Apr 26, 2024 14:39 UTC","Oct  6, 2023 21:24 UTC"
MacBook Air,FVFDG9W7MNHX,false,"Sep  9, 2024 19:29 UTC","Oct  6, 2023 22:27 UTC"
SMH-L129,C02FC4STML85,true,"Nov 15, 2024 15:04 UTC","Oct  6, 2023 22:30 UTC"
SMH-L144,FVFDN1NUMNHY,true,"Nov 15, 2024 14:27 UTC","Oct  6, 2023 20:18 UTC"
SMH-L79,FVFCT87ZMNHP,false,"Aug 28, 2024 14:12 UTC","Oct  6, 2023 21:12 UTC"
SMH-L155,C02DQUQ6Q6L4,false,"Nov 15, 2024 16:29 UTC","Oct  6, 2023 22:13 UTC"
LDG-L004,C02DMFX5Q6L4,false,"Nov 15, 2024 16:07 UTC","Oct  6, 2023 23:33 UTC"
SMH-L201,C02SQBL0G8WN,false,"May 15, 2024 19:37 UTC","Dec 20, 2023 14:47 UTC"
SMH-L227,J7M2QFPGDX,true,"Nov 15, 2024 16:10 UTC","May 17, 2024 15:53 UTC"
SMH-L245,HWF7PYL7QV,true,"Nov 15, 2024 16:14 UTC","Sep 24, 2024 13:57 UTC"
SMH-L173,FVHGR87LQ6L4,false,"Nov 15, 2024 14:21 UTC","Oct  6, 2023 23:25 UTC"
SMH-L244,D342X0V79R,true,"Nov 15, 2024 15:55 UTC","Sep 17, 2024 16:39 UTC"
SMH-L200,C02YQFH3LVDC,false,"Oct 30, 2024 21:28 UTC","Dec 13, 2023 18:58 UTC"
