"Computer Name","Friendly Name","Company","Site","Type","OS"
"DAMANSURFACE","","Schuber Mitchell Homes","Bentonville Square Office","Workstation","Microsoft Windows 11 Pro x64"
"LDG-L006","","Schuber Mitchell Homes","SMH Home Office - Joplin","Workstation","Microsoft Windows 11 Pro x64"
"LDG-L008","","Schuber Mitchell Homes","SMH Home Office - Joplin","Workstation","Microsoft Windows 10 Pro x64"
"LDG-L009","","Schuber Mitchell Homes","SMH Home Office - Joplin","Workstation","Microsoft Windows 11 Pro x64"
"LDG-L010","","Schuber Mitchell Homes","SMH Home Office - Joplin","Workstation","Microsoft Windows 11 Pro x64"
"LDGC-L228","","Schuber Mitchell Homes","SMH Home Office - Joplin","Workstation","Microsoft Windows 11 Pro x64"
"LDGC-L230","","Schuber Mitchell Homes","SMH Home Office - Joplin","Workstation","Microsoft Windows 11 Pro x64"
"LDGC-L242","","Schuber Mitchell Homes","SMH Home Office - Joplin","Workstation","Microsoft Windows 11 Pro x64"
"LDGP-T12","","Schuber Mitchell Homes","SMH Home Office - Joplin","Workstation","Microsoft Windows 10 Pro x64"
"LDGP-T13","","Schuber Mitchell Homes","SMH Home Office - Joplin","Workstation","Microsoft Windows 10 Pro x64"
"LDGP-T14","","Schuber Mitchell Homes","SMH Home Office - Joplin","Workstation","Microsoft Windows 10 IoT Enterprise LTSC x64"
"SMH-ACS","","Schuber Mitchell Homes","NVR","Workstation","Microsoft Windows 10 IoT Enterprise LTSC x64"
"SMH-APP01","","Schuber Mitchell Homes","SMH Home Office - Joplin","Server","Microsoft Windows Server 2022 Standard x64"
"SMH-D004","","Schuber Mitchell Homes","SMH Home Office - Joplin","Workstation","Microsoft Windows 10 IoT Enterprise x64"
"SMH-DC01","","Schuber Mitchell Homes","SMH Home Office - Joplin","Server","Microsoft Windows Server 2022 Standard x64"
"SMH-L090","","Schuber Mitchell Homes","SMH Home Office - Joplin","Workstation","Microsoft Windows 10 Pro x64"
"SMH-L103","","Schuber Mitchell Homes","SMH Home Office - Joplin","Workstation","Microsoft Windows 11 Pro x64"
"SMH-L104","","Schuber Mitchell Homes","SMH Home Office - Joplin","Workstation","Microsoft Windows 10 Pro x64"
"SMH-L106","","Schuber Mitchell Homes","Missouri Model Home Center - Webb","Workstation","Microsoft Windows 10 Pro x64"
"SMH-L109","","Schuber Mitchell Homes","SMH Home Office - Joplin","Workstation","Microsoft Windows 10 Pro x64"
"SMH-L110","","Schuber Mitchell Homes","Missouri Model Home Center - Webb","Workstation","Microsoft Windows 10 Pro x64"
"SMH-L111","","Schuber Mitchell Homes","SMH Home Office - Joplin","Workstation","Microsoft Windows 11 Pro x64"
"SMH-L112","","Schuber Mitchell Homes","Bentonville Square Office","Workstation","Microsoft Windows 10 Pro x64"
